subject,block_id,t_start_sec,t_end_sec,stage,clean_channels
EPCTL04,N3_13,11790.00,12210.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL04,N2_14,12960.00,13560.00,N2,"Fp1,Fp2,F3,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2"
EPCTL04,R_15,13980.00,14580.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL04,R_16,14820.00,15480.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL04,N2_17,16080.00,16410.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL04,N2_18,17370.00,18150.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,O1,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL04,N3_19,18270.00,19770.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL04,N2_20,19950.00,20670.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL04,W_21,21780.00,22500.00,W,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,W_0,450.00,2250.00,W,"Fp1,Fp2,F3,F4,C3,P3,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,N2_1,2700.00,3180.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,N3_2,3180.00,6450.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,N2_3,6510.00,6900.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,N2_4,7140.00,7860.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,N2_5,8220.00,9090.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,N2_6,9120.00,9930.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,R_7,10320.00,10800.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,N2_8,10950.00,11280.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,W_9,11490.00,13260.00,W,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,N1_10,13260.00,13650.00,N1,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,N2_11,13950.00,15300.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,N2_12,16110.00,16860.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,R_13,16980.00,17640.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,R_14,17760.00,18180.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,N2_15,18540.00,18840.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,N2_16,19200.00,19680.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,N2_17,19710.00,20460.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,N3_18,20460.00,20910.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,N2_19,21030.00,21540.00,N2,"Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,N2_20,21630.00,21960.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL15,R_21,21960.00,22290.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,N2_0,2970.00,3840.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,N3_1,3840.00,4770.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,N3_2,4800.00,5430.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,N2_3,6960.00,7500.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,N2_4,8610.00,8970.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,N2_5,9240.00,9750.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,N3_6,9750.00,10140.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,N2_7,10140.00,10590.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,N2_8,10770.00,11310.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,R_9,11910.00,12330.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,N2_10,13830.00,15030.00,N2,"Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,N2_11,15120.00,15540.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,N3_12,16080.00,16770.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,N2_13,16890.00,17250.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,N2_14,17460.00,18180.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,R_15,19080.00,19440.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,R_16,19740.00,20130.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,R_17,20310.00,20970.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,N2_18,22080.00,22590.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,N2_19,22650.00,23700.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,N2_20,24540.00,25110.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,N2_21,25170.00,25560.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL16,R_22,26100.00,26430.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N2_0,660.00,1110.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
